2020/06/16 18:17:34 callbacks,line: 116     INFO | Logger object created successfully..
2020/06/16 18:17:34 callbacks,line: 125     INFO | Start reading database
2020/06/16 18:17:34 callbacks,line: 128    DEBUG | Records: {'john': 55, 'tom': 66}
2020/06/16 18:17:34 callbacks,line: 129     INFO | Updating records ...
2020/06/16 18:17:34 callbacks,line: 131     INFO | Finish updating records
2020/06/16 18:17:43 callbacks,line: 116     INFO | Logger object created successfully..
2020/06/16 18:17:43 callbacks,line: 125     INFO | Start reading database
2020/06/16 18:17:43 callbacks,line: 128    DEBUG | Records: {'john': 55, 'tom': 66}
2020/06/16 18:17:43 callbacks,line: 129     INFO | Updating records ...
2020/06/16 18:17:43 callbacks,line: 131     INFO | Finish updating records
2020/06/16 18:18:02 callbacks,line: 116     INFO | Logger object created successfully..
2020/06/16 18:18:02 callbacks,line: 125     INFO | Start reading database
2020/06/16 18:18:02 callbacks,line: 128    DEBUG | Records: {'john': 55, 'tom': 66}
2020/06/16 18:18:02 callbacks,line: 129     INFO | Updating records ...
2020/06/16 18:18:02 callbacks,line: 131     INFO | Finish updating records
2020/06/16 18:18:18 callbacks,line: 116     INFO | Logger object created successfully..
2020/06/16 18:18:18 callbacks,line: 125     INFO | Start reading database
2020/06/16 18:18:18 callbacks,line: 128    DEBUG | Records: {'john': 55, 'tom': 66}
2020/06/16 18:18:18 callbacks,line: 129     INFO | Updating records ...
2020/06/16 18:18:18 callbacks,line: 131     INFO | Finish updating records
2020/06/16 18:18:18 callbacks,line: 116     INFO | Logger object created successfully..
2020/06/16 18:18:18 callbacks,line: 125     INFO | Start reading database
2020/06/16 18:18:18 callbacks,line: 128    DEBUG | Records: {'john': 55, 'tom': 66}
2020/06/16 18:18:18 callbacks,line: 129     INFO | Updating records ...
2020/06/16 18:18:18 callbacks,line: 131     INFO | Finish updating records
2020/06/16 18:18:31 callbacks,line: 116     INFO | Logger object created successfully..
2020/06/16 18:18:31 callbacks,line: 125     INFO | Start reading database
2020/06/16 18:18:31 callbacks,line: 128    DEBUG | Records: {'john': 55, 'tom': 66}
2020/06/16 18:18:31 callbacks,line: 129     INFO | Updating records ...
2020/06/16 18:18:31 callbacks,line: 131     INFO | Finish updating records
2020/06/16 18:18:44 callbacks,line: 116     INFO | Logger object created successfully..
2020/06/16 18:18:44 callbacks,line: 125     INFO | Start reading database
2020/06/16 18:18:44 callbacks,line: 128    DEBUG | Records: {'john': 55, 'tom': 66}
2020/06/16 18:18:44 callbacks,line: 129     INFO | Updating records ...
2020/06/16 18:18:44 callbacks,line: 131     INFO | Finish updating records
2020/06/16 18:18:58 callbacks,line: 116     INFO | Logger object created successfully..
2020/06/16 18:18:58 callbacks,line: 125     INFO | Start reading database
2020/06/16 18:18:58 callbacks,line: 128    DEBUG | Records: {'john': 55, 'tom': 66}
2020/06/16 18:18:58 callbacks,line: 129     INFO | Updating records ...
2020/06/16 18:18:58 callbacks,line: 131     INFO | Finish updating records
2020/06/16 18:19:05 callbacks,line: 116     INFO | Logger object created successfully..
2020/06/16 18:19:05 callbacks,line: 125     INFO | Start reading database
2020/06/16 18:19:05 callbacks,line: 128    DEBUG | Records: {'john': 55, 'tom': 66}
2020/06/16 18:19:05 callbacks,line: 129     INFO | Updating records ...
2020/06/16 18:19:05 callbacks,line: 131     INFO | Finish updating records
2020/06/16 18:19:13 callbacks,line: 116     INFO | Logger object created successfully..
2020/06/16 18:19:13 callbacks,line: 125     INFO | Start reading database
2020/06/16 18:19:13 callbacks,line: 128    DEBUG | Records: {'john': 55, 'tom': 66}
