index,birga_x,valin_x,valout_x,direction_x,rates_x,volume_x,Com_x,birga_y,valin_y,valout_y,direction_y,rates_y,volume_y,Com_y,Bal1,Bal2,volume,Vol1,Vol2,Vol3,Vol4,profit,percent
0,alfa,USD,PZM,buy,0.02,55277.98922992,0.2,alfa,PZM,USD,sell,0.0197,67826.64946802,0.2,41089.627872,13015.23511546,13015.23511546,260.30470230919997,13015.23511546,12989.2046452291,255.375556848,-4.929145461199965,-1.893605999996472
1,alfa,USD,PZM,buy,0.02,55277.98922992,0.2,alfa,PZM,USD,sell,0.0196,76296.03717617999,0.2,41089.627872,13015.23511546,13015.23511546,260.30470230919997,13015.23511546,12989.2046452291,254.07923422439998,-6.225468084799985,-2.391607999998837
2,alfa,USD,PZM,buy,0.02,55277.98922992,0.2,live,PZM,USD,sell,0.01951,100.0,0.18,41089.627872,3412.91078305,100.0,2.0,100.0,99.8,1.9435932236000002,-0.0564067763999998,-2.82033881999999
3,alfa,USD,PZM,buy,0.02,55277.98922992,0.2,live,PZM,USD,sell,0.0195,200.0,0.18,41089.627872,3412.91078305,200.0,4.0,200.0,199.6,3.88519404,-0.11480595999999998,-2.8701489999999996
4,alfa,USD,PZM,buy,0.02,55277.98922992,0.2,live,PZM,USD,sell,0.01921,300.7781740000001,0.18,41089.627872,3412.91078305,300.778174,6.01556348,300.778174,300.176617652,5.756013318,-0.25955016200000003,-4.314644220162066
5,alfa,USD,PZM,buy,0.02,55277.98922992,0.2,live,PZM,USD,sell,0.019,505.73219865,0.18,41089.627872,3412.91078305,505.73219865,10.114643973,505.73219865,504.72073425269997,9.5724325017,-0.5422114712999999,-5.3606579998997255
6,alfa,USD,PZM,buy,0.02,55277.98922992,0.2,live,PZM,USD,sell,0.0188,517.99586549,0.18,41089.627872,3412.91078305,517.99586549,10.3599173098,517.99586549,516.9598737590001,9.7013517045,-0.6585656052999997,-6.356861600401263
7,alfa,USD,PZM,buy,0.0201,55290.73077994,0.2,alfa,PZM,USD,sell,0.0197,67826.64946802,0.2,40885.20186268657,13015.23511546,13015.23511546,261.6062258207,13015.23511546,12989.2046452291,255.375556848,-6.230668972699988,-2.3816975124171442
8,alfa,USD,PZM,buy,0.0201,55290.73077994,0.2,alfa,PZM,USD,sell,0.0196,76296.03717617999,0.2,40885.20186268657,13015.23511546,13015.23511546,261.6062258207,13015.23511546,12989.2046452291,254.07923422439998,-7.526991596300007,-2.8772218905290377
9,alfa,USD,PZM,buy,0.0201,55290.73077994,0.2,live,PZM,USD,sell,0.01951,100.0,0.18,40885.20186268657,3412.91078305,100.0,2.01,100.0,99.8,1.9435932236000002,-0.06640677639999959,-3.303819721393015
